Iterasi,PC,Fungsi Objektif,Interpretasi,Max Selisih,K1,K2,K3
1,0.334747,74.254040,Buruk,0.538290,97,112,44
2,0.337107,57.393701,Buruk,0.083000,115,23,115
3,0.343565,57.141704,Buruk,0.043808,124,14,115
4,0.358727,56.541241,Buruk,0.070054,88,50,115
5,0.386676,55.383351,Buruk,0.105533,85,53,115
6,0.426071,53.895636,Cukup,0.374919,85,115,53
7,0.478253,52.274666,Cukup,0.129418,85,115,53
8,0.544308,49.836573,Cukup,0.169061,85,115,53
9,0.602024,46.987032,Baik,0.118313,85,115,53
10,0.630225,45.506913,Baik,0.066188,85,115,53
11,0.640054,45.095505,Baik,0.032307,85,115,53
12,0.643048,44.981511,Baik,0.018839,85,112,56
13,0.643846,44.942300,Baik,0.011913,85,106,62
14,0.643972,44.926746,Baik,0.007584,85,97,71
15,0.643910,44.920137,Baik,0.005013,85,95,73
16,0.643813,44.917231,Baik,0.003384,85,93,75
17,0.643725,44.915927,Baik,0.002288,85,90,78
18,0.643656,44.915336,Baik,0.001550,85,90,78
19,0.643605,44.915065,Baik,0.001052,85,90,78
20,0.643569,44.914941,Baik,0.000715,85,89,79
21,0.643543,44.914884,Baik,0.000486,85,89,79
22,0.643526,44.914857,Baik,0.000331,85,86,82
23,0.643513,44.914845,Baik,0.000225,85,85,83
24,0.643505,44.914839,Baik,0.000154,85,85,83
25,0.643499,44.914837,Baik,0.000105,85,85,83
26,0.643495,44.914835,Baik,0.000071,85,85,83
