Iterasi,PC,Fungsi Objektif,Interpretasi,Max Selisih,K1,K2,K3,K4
1,0.251426,56.785770,Buruk,0.479025,49,108,39,57
2,0.253553,43.028248,Buruk,0.024429,75,115,10,53
3,0.259442,42.812475,Buruk,0.127505,85,0,115,53
4,0.274187,42.277694,Buruk,0.067467,85,0,115,53
5,0.304997,41.121447,Buruk,0.107313,85,0,115,53
6,0.356512,39.291127,Buruk,0.141269,85,0,109,59
7,0.422835,37.211886,Cukup,0.658318,85,80,0,88
8,0.475140,35.704960,Cukup,0.116260,83,74,2,94
9,0.503738,35.014741,Cukup,0.066313,83,74,2,94
10,0.525013,34.384190,Cukup,0.087226,85,68,47,53
11,0.561025,33.010470,Cukup,0.201717,85,68,47,53
12,0.632280,30.097398,Baik,0.312781,85,68,47,53
13,0.669087,27.459243,Baik,0.115830,85,68,47,53
14,0.673479,27.151698,Baik,0.010949,85,68,47,53
15,0.673854,27.146714,Baik,0.001504,85,68,47,53
16,0.673887,27.146645,Baik,0.000319,85,68,47,53
17,0.673890,27.146641,Baik,0.000104,85,68,47,53
18,0.673890,27.146641,Baik,0.000045,85,68,47,53
